とまと,1647,1647,8985,名詞,普通名詞,*,*,トマト,とまと,代表表記:トマト
いないいないばあ,1647,1647,30,名詞,普通名詞,*,*,いないいないばあ,いないいないばあ,代表表記:いないいないばあ
メロン,1647,1647,8985,名詞,普通名詞,*,*,メロン,めろん,代表表記:メロン
パソコン,1647,1647,8985,名詞,普通名詞,*,*,パソコン,ぱそこん,代表表記:パソコン
道路公団,1647,1647,8985,名詞,普通名詞,*,*,道路公団,どうろこうだん,代表表記:道路公団
阪神高速,1647,1647,8985,名詞,普通名詞,*,*,阪神高速,はんしんこうそく,代表表記:阪神高速
そば,1647,1647,8985,名詞,普通名詞,*,*,そば,そば,代表表記:そば
會社,1647,1647,8985,名詞,普通名詞,*,*,會社,かいしゃ,代表表記:会社
學校,1647,1647,8985,名詞,普通名詞,*,*,學校,がっこう,代表表記:学校
レビュ,1647,1647,8985,名詞,普通名詞,*,*,レビュ,れびゅ,代表表記:レビュー
レビュー,1647,1647,8985,名詞,普通名詞,*,*,レビュー,れびゅー,代表表記:レビュー
組み合わせ,1647,1647,8985,名詞,普通名詞,*,*,組み合わせ,くみあわせ,代表表記:組み合わせ
組合せ,1647,1647,8985,名詞,普通名詞,*,*,組合せ,くみあわせ,代表表記:組み合わせ
取扱い,1647,1647,8985,名詞,普通名詞,*,*,取扱い,とりあつかい,代表表記:取扱
取扱,1647,1647,8985,名詞,普通名詞,*,*,取扱,とりあつかい,代表表記:取扱
セキュリテイ,1647,1647,1,名詞,普通名詞,*,*,セキュリテイ,せきゅりてぃ,代表表記:セキュリテイ
とおりゃんせ,1647,1647,8985,名詞,普通名詞,*,*,とおりゃんせ,とおりゃんせ,代表表記:とおりゃんせ
ドラえもん,1647,1647,8985,名詞,普通名詞,*,*,どらえもん,どらえもん,代表表記:ドラえもん
スマート,318,318,3500,形容詞,*,ナ形容詞,語幹,スマートだ,すまーと,代表表記:スマートだ
